sumber_data,parameter,date,time,periode,user,user_all,user_count,tweets,clean_text,word_count,hashtag,tag_count,is_duplicate,replying,fav_count,rep_count,ret_count,link
twitter,#saveojekonline,2015-12-18,1:47 AM,periode_1, tyo_ontheroad, tyo_ontheroad ,2,">200rb driver ojek online akan jd pengangguran dan kriminalitas melonjak , jk ojek online di larang #SaveGojek #SaveOjekOnline #GoRakyat",rb driver ojek online pengangguran kriminalitas melonjak jk ojek online larang,11,SaveGojek  SaveOjekOnline  GoRakyat,3,FALSE,False,NA,NA,NA,/tyo_ontheroad/status/677787172628369408
twitter,#saveojekonline,2015-12-18,1:43 AM,periode_1, ayuwindari06, ayuwindari06 ,2,#saveGoJek #SaveGoJek #SaveOjekOnline #SaveOjekOnline,,0,saveGoJek  SaveGoJek  SaveOjekOnline  SaveOjekOnline,4,FALSE,False,NA,NA,NA,/ayuwindari06/status/677786330785447936
twitter,#saveojekonline,2015-12-18,1:42 AM,periode_1, Faisal_K21, Faisal_K21 ,2,Selama rakyat msh nyman dan aman dgn penggunaan transportasi berbasis aplikasi (0nline ) itu suara rakyat #SaveOjekOnline #SaveGojek #Gorakyat,rakyat msh nyman aman penggunaan transportasi berbasis aplikasi nline suara rakyat,11,SaveOjekOnline  SaveGojek  Gorakyat,3,FALSE,False,NA,NA,NA,/Faisal_K21/status/677786107963006978
twitter,#saveojekonline,2015-12-18,1:39 AM,periode_1, Jokowi_JK_Ahok, Jokowi_JK_Ahok ,2,"Dilarang Pemerintah , Masyarakat Ungkapkan Kekecewaan Lewat #SaveOjekOnline ",dilarang pemerintah masyarakat ungkapkan kekecewaan,5,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/Jokowi_JK_Ahok/status/677785348727029760
twitter,#saveojekonline,2015-12-18,1:38 AM,periode_1, angga_ella, angga_ella ,2,Berita online hari ini hingga jam ini tentang gojek tembus 235 berita #SaveOjekOnline,berita online tembus berita,4,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/angga_ella/status/677785110846935040
twitter,#saveojekonline,2015-12-18,1:34 AM,periode_1, yansen_siregar, yansen_siregar ,2,"bukan jalan tengah , BALIK LAGI KE YANG LAMA SETELAH DI PROTES ! #SaveOjekOnline ",jalan protes,2,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/yansen_siregar/status/677784069384609792
twitter,#saveojekonline,2015-12-18,1:30 AM,periode_1, Andi_Pangerang_, Andi_Pangerang_ ,2,"Kalau ojek online dilarang gara2 gak roda 3 , jadiin aja BECAK MOTOR ...
#savegojek #saveojekonline",ojek online dilarang gara roda jadiin becak motor,8,savegojek  saveojekonline,2,FALSE,False,NA,NA,NA,/Andi_Pangerang_/status/677782886724927488
twitter,#saveojekonline,2015-12-18,1:25 AM,periode_1, faruqi_31, faruqi_31 ,2,"jangan terlalu terburu memutuskan sesuatu , jangan sampai berat sepihak apalagi menyusahkan masy akhirnya #saveojekonline",terburu memutuskan berat menyusahkan masy,5,saveojekonline,1,FALSE,False,NA,NA,NA,/faruqi_31/status/677781844230737920
twitter,#saveojekonline,2015-12-18,1:25 AM,periode_1, deeccee7, deeccee7 ,2,"Fix !!! Ojek online tetep beroperasi , thankyouu pak #SaveGojek #SaveOjekOnline",fix ojek online tetep beroperasi thankyouu,6,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/deeccee7/status/677781765344198656
twitter,#saveojekonline,2015-12-18,1:12 AM,periode_1, yunusMakNyos, yunusMakNyos ,2,#SaveGojek #SaveOjekOnline .    Jual Lampu Emergency model petromah ,jual lampu emergency model petromah,5,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/yunusMakNyos/status/677778461633593344
twitter,#saveojekonline,2015-12-18,1:10 AM,periode_1, yunusMakNyos, yunusMakNyos ,2,#SaveGojek #SaveOjekOnline     Jual Flashdisk Pulpen 8GB + box eksklusif  ,jual flashdisk pulpen gb box eksklusif,6,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/yunusMakNyos/status/677777989526884352
twitter,#saveojekonline,2015-12-18,1:09 AM,periode_1, AniVolta, AniVolta ,2,#SaveGojek #SaveOjekOnline,,0,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/AniVolta/status/677777731363463168
twitter,#saveojekonline,2015-12-18,1:08 AM,periode_1, shifawulandarsi, shifawulandarsi ,2,#SaveOjekOnline #SaveGojek,,0,SaveOjekOnline  SaveGojek,2,FALSE,False,NA,NA,NA,/shifawulandarsi/status/677777536814735361
twitter,#saveojekonline,2015-12-18,1:08 AM,periode_1, yunusMakNyos, yunusMakNyos ,2,#SaveGojek #SaveOjekOnline     Jual Jam tangan murah ,jual tangan murah,3,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,1,NA,/yunusMakNyos/status/677777478375489536
twitter,#saveojekonline,2015-12-18,1:07 AM,periode_1, yunusMakNyos, yunusMakNyos ,2,#SaveGojek #SaveOjekOnline     Jual Tirai magnet Anti Nyamuk ,jual tirai magnet anti nyamuk,5,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/yunusMakNyos/status/677777222938193920
twitter,#saveojekonline,2015-12-18,1:05 AM,periode_1, M2eRadio, M2eRadio ,2,pengalaman lo naik angkutan online apa sih ? mention dg #SUKASUKA #SaveOjekOnline,pengalaman angkutan online mention,4,SUKASUKA  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/M2eRadio/status/677776602705588224
twitter,#saveojekonline,2015-12-18,1:04 AM,periode_1, jacklynsuwargo, jacklynsuwargo ,2,Yg bnr itu ojek biasa jd ojek ol jd biar gak getok hrg trs angkot2 yg nyetir nya ugal2an ditertibkan lg ...#SaveGojek #SaveOjekOnline,bnr ojek ojek ol biar getok hrg trs angkot nyetir ugalan ditertibkan,12,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/jacklynsuwargo/status/677776457158946817
twitter,#saveojekonline,2015-12-18,12:51 AM,periode_1, InIndi, InIndi ,2,Ojek itu dibutuhkan bukan krna aturan rakyat jadi susah harusnya ditata biar jauh lebih baik . #SaveOjekOnline,ojek dibutuhkan krna aturan rakyat susah ditata biar,8,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/InIndi/status/677773235425906688
