sumber_data,aplikasi,date,username,text,clean_text
playstore,gojek_customer,2018-03-21, Candra , Sejak 2 update terkahir rute di maps sering salah malah rute jalan yg lebih jauh <d9><f7><a5> <d9><f7><c2> padahal sebelumnya dengan penjemputan dan tujuan yang sama rutenya udah bener ,update terkahir rute maps salah rute jalan penjemputan tujuan rutenya udah bener
playstore,gojek_customer,2018-03-05, Ira ayu miranda , Update an barunya malah bikin lama Bagus sih lebih tepat lokasinya Tapi bikin ribet kalo mesennya sebelum sampai tujuan Pilih lokasi penjemputan udah pilih pointnya malah error balik lagi ke lokasi yang dituju kelamaan jadi milih ojol lain ,update barunya bikin bagus lokasinya bikin ribet kalo mesennya tujuan pilih lokasi penjemputan udah pilih pointnya error lokasi dituju milih ojol
playstore,gojek_customer,2018-03-03, Rafika Chandra , Can t believe it gets decreasing instead of improving its service bye gojek you are not the number one anymore pathetic ,can believe gets decreasing instead improving service bye gojek number one anymore pathetic
playstore,gojek_customer,2018-03-06, Budi Chandra , Sy sebagai driver yg kesuspand sangat menyayangkan terhadap pihak gojek yg asal me suspand akun driver Katanya utk menjalankan orderan ctm yg sama ndak masalah Padahal it orderan ctm yg benar2 ctm harusnya pihak gojek bs melihat rifayat orderan dr ctm Tp pihak gojek malah asal me suspand akun dr ,driver kesuspand menyayangkan gojek suspand akun driver menjalankan orderan ctm orderan ctm ctm gojek rifayat orderan dr ctm gojek suspand akun dr
playstore,gojek_customer,2018-03-13, Woo Hoo , Knp skrg ga ada penukaran go points untuk pulsa lagi Pdhl gw hampir tiap hari make gojek dan kalo ada penukaran point ke pulsa lebih bermanfaat buat ngebantu sehari2 gw kecewa ,knp skrg penukaran go points pulsa pdhl gw make gojek kalo penukaran point pulsa bermanfaat ngebantu sehari gw kecewa
playstore,gojek_customer,2018-03-14, Diah Yuanita Furi , Gojek sama promonya ngebantu tp knp aplikasinya sering error ya baru install lagi log in pake user name baru tp pas mau msukin kode voucher selalu keluar 503 ,gojek promonya ngebantu knp aplikasinya error install log pake user name pas msukin kode voucher
playstore,gojek_customer,2018-03-09, Gue Jawa , Bintang 2 utk tampilan design aplikasi yg baru Khas gojek hitam gelap bagus kok diganti putih Gak sesuai corporate color BG putih silau buat mata capek Penataan posisi titik yg bisa diklik juga gak friendly Gak enak pakenya Tapi tetep bintang 5 buat services gojek Sukses buat gojek ,bintang tampilan design aplikasi khas gojek hitam gelap bagus diganti putih sesuai corporate color bg putih silau mata capek penataan posisi titik diklik friendly enak pakenya tetep bintang services gojek sukses gojek
playstore,gojek_customer,2018-03-02, Aditya Adha , Dr dlu pemakai gopay Skr voucher gopay untuk gojek dan go car terlalu mahal 8000rb poin cuma dpt 200rb Dlu cuma 3600 poin ,dr dlu pemakai gopay skr voucher gopay gojek go car mahal rb poin dpt rb dlu poin
playstore,gojek_customer,2018-03-04, Marda Faqruradi , It s very very annoying after waiting almost 30min got cancelled by go car driver After that I must cancel another trip after booked to punish for you due slow response from your app Wasting time ,annoying waiting almost got cancelled go car driver must cancel another trip booked punish due slow response app wasting time
playstore,gojek_customer,2018-03-09, Romi Robin Lie , Hi My account has been blocked I was asked to contact customer service But couldnt really get in touch with them I emailed a few times but no response The web also doent show any number i can call to clear the issue ,account blocked asked contact customer service couldnt really get touch emailed times response web also doent show number can call clear issue
playstore,gojek_customer,2018-04-17, afiat kurnia , Really cheap transportation because its still promo but please fix your server because we cant book in the evening 5pm 8pm i appreciate if you concern about your server ,really cheap transportation still promo please fix server cant book evening pm pm appreciate concern server
playstore,gojek_customer,2018-03-09, Lena Limbang , Since last update I can t choose departure point confirm destination buttons there s only confirm pickup cannot see the estimated fare fyi I m using galaxy j7prime ,since last update can choose departure point confirm destination buttons confirm see estimated fare fyi using galaxy jprime
playstore,gojek_customer,2018-03-11, AbuDzar RahmanSidiq , Setelah update yg terbaru kenapa promo sering error pas buka app muncul pop ads mendapatkan promo tp pas di pencet pesan sekarang ee malah ilang tu voucher php bgt e ini bug atau gmn Udah sering ,update terbaru promo error pas buka app muncul pop ads promo pas pencet pesan ee ilang tu voucher php bgt bug gmn udah
playstore,gojek_customer,2018-03-05, Prince Ray , Too much white area after update My eyes sick of it U make worst for battery life because of ths WHITE ,much white area update eyes sick make worst battery life ths white
