user,tweets
abeelyaza,"@pemkotprob larang Gojek setelah ditekan oleh ASAP . Padahal driver Gojek itu termasuk warga Probolinggo juga . Bersaing sehat mungkin lebih keren kali ya , daripada main larang2an . #saveojekonline  perbaiki layanan ,armadanya , dan jgn suka ngetem @Paijo_Gemes"
AnnisaSeptiayu,"Namanya ojol pengen mencari nafkah yg halal tanpa ada gangguan ancaman dr siapapun , terbukti ojol mengadakan dialog dgn opang pasca insiden pemukulan driver ojol di Jatinangor .  @lambeonlen @Kesya_Kimberley @DriverGojekPro @DriverPetualang #SaveOjekOnline"
abeelyaza,"Alhamdulillah , uda berdamai ojol dan opang Sumedang , adem banget liatnya , gimana bang ??
damai itu indah kan ?? @MitraGojekYk #saveojekonline krn warga butuh banget transportasi ini .
"
edrik_ky,"Wooww , ini untuk pertama kali bekasi menyediakan parkir untuk ojek online . @InfoBekasi @syaikhu_ahmad Bekasi emang keren , kalau bekasi bisa , daerah yang lan juga bisa dunkk #savetransportasionline #saveojekonline @Kesya_Kimberley"
Indah_GDS,"Driver @gojekindonesia bikin hati cenat cenut , hehehehe ,,,  @Kesya_Kimberley #saveojekonline pengusaha kaya @nukman merasakan manfaat ojek online ."
RahyaMaya,Jahat bener ini kelakuan opang di Jatinangor ... Lagi -lagi ojol jadi korbannya ... #SaveOjekOnline @ustadzthink @SiegerAnwalt @wakilgubernurKW @triwul82 @MasTBP_ @Habib_Insyaf
abeelyaza,"#Saveojekonline dari orang2 yg semena2 dgn ojek online @TIGORaja klo melihat fenomena ini , sptnya payung hukum utk ojek online hrs ada loh pak @hubdat151"
Indah_GDS,"Menurut @Djokosetijowarno ojol bisa diatur melalui perda , lah kok beda dgn pernyataan pak @Darmaningtyas #saveojekonline  @Kesya_Kimberley"
RahyaMaya,Pengamat Transportasi dari @unika_soegija Pak Djoko Setijowarno setuju dengan adanya peraturan yang mengatur ojek online meski levelnya di daerah ... #SaveOjekOnline @ganjarpranowo @yunantyo2 @Darmaningtyas @KotaSMG @infosemarang_id @provjateng @masinusina
Vita_lchow,"Haduh , ini kelakuan opang ga terpuji banget , bersaing sehat apa ga bisa , napa pke blokir jalan raya , #saveojekonline dari opang2 yang sok menguasai dunia per -ojekan  @Paijo_Gemes @Kesya_Kimberley"
abeelyaza,"Wahh , ini mahasiswa apaan sih , kok pemikirannya spt anak yg ga pernah makan bangku sekolah  @Kesya_Kimberley #Saveojekonline @BangDoel1981"
Indah_GDS,"Diduga Rem Blong , Kopaja P20 seruduk 2 mobil dan 2 driver ojol , terbukti kan ga amannya naik angkot ? #saveojekonline jgn salahkan masyarakat jika lebih memilih transprtasi online #SaveTransportasiOnline @Kesya_Kimberley"
