'April 18, 2018';'Edii Gombii';'Point 800 saya tukar bigpoint 500point udah 2 bulan ndak masuk masuk...';;;;
'April 17, 2018';'ì¡°ê°•í•œ';'Just got better and better, and now is the best ever, and please keep it that way!';;;;
'April 18, 2018';'RINTO LEE';'Fitur chat nya klo bisa ngirim foto lebih enak';;;;
'April 18, 2018';'Jason Hanjaya';'Udh 4x pke gopay go point gak bisa nambah';;;;
'April 16, 2018';'Christy Nadia';'dengan versi terbaru, saya tidak bisa menentukan titik penjemputan yang sesuai. ini dikarenakan rumah saya pelosok dan belum ada nama jalan..jika saya mengikuti titik penjemputan yang diatur sistem (gps), maka driver kesulitan menemukan rumah saya dan nantinya akan menyebabkan kerugian bagi saya...;;;;
'April 18, 2018';'I Ketut Hartana';'Token hilang dan tojen tidak muncul after service';;;;
'April 18, 2018';'Nicholas Judistira';'Ga bs pesen aneh disuruh telfon customer service';;;;
'April 18, 2018';'lechiotta shien';'Overall bagus tapi customer service terlalu kayak mesin';;;;
'April 14, 2018';'Addin Badruddin';'Untuk sebuah aplikasi ini sangat buruk.';;;;
'April 16, 2018';'haryo nurtiar';'Lebih oke lagi, kalo ada notifikasi zona merah';;;;
'April 17, 2018';'Naix Pathwell';'Koq ngelag ya';;;;
'April 16, 2018';'A Google user';'Gojek Kok Blum Ada di Tanjungpinang';;;;
'April 17, 2018';'Setianing Sugihpriyadi';'Jangan suspend driver sepihak bang, kesian';;;;
'April 18, 2018';'eve kml';'Loading take more than 5 min..still waitiiing..waitiing';;;;
'April 18, 2018';'S Muti';'good app, tapi harus pakai sms untuk chat dengan driver';;;;
'April 17, 2018';'Hendra Sadely Silitonga';'Will be 5 stars if payment through debit / credit card are available...';;;;
'April 17, 2018';'Tommy Kurniawan';'Maju terus gojek...sangat membantu sekali.';;;;
'April 17, 2018';'Sugiharto Utomo';'A very good app to make a better life of Indonesia people.';;;;
'April 16, 2018';'Pattiju Songma';'Well, I just installed it.';;;;
'April 15, 2018';'Bunga Nauli';'I love it';;;;
'April 19, 2018';'Javaline Shop';'Sangat membantu sekali';;;;
'April 19, 2018';'Isfandrika Ahmadhy';'gopay server is busy.WTAF?';;;;
'April 19, 2018';'Hendra Kusuma Wardhana';'Excellent this is getting better than before and thumbs up.';;;;
'April 18, 2018';'NayQeela Ae22';'Very friendly drivers n gd services..._Ÿ‘ç_Ÿ‘ç_Ÿ‘ç';;;;
'April 16, 2018';'A Google user';'Its really amazing one ....all of what you need in one .';;;;
'April 17, 2018';'Deon Dean Syahdian';'Helpfull and usefull .. Bravo keep the good work on it';;;;
'April 18, 2018';'nada rania';'This application can help u better';;;;
'April 18, 2018';'Reef Chan';'Nice apps for simple transportation, delivery, etc';;;;
'April 18, 2018';'sudarji';'Good aplication and easy friandly for use';;;;
'April 18, 2018';'Viona Djubiharto';'Sangat bagus';;;;
'April 16, 2018';'A Google user';'Sering erorrrrr';;;;
'April 18, 2018';'Nailah Hanifah';'Love the updates, this app is amazing';;;;
'April 15, 2018';'Aleandrea Agatsu';'error gps';;;;
'April 18, 2018';'indri sidabalok';'Make life waaaay easier.';;;;
'April 16, 2018';'ë°”ë_´ì•_Nuph';'easy to use and very helpful';;;;
'April 17, 2018';'A Google user';'Great apps very helpful';;;;
'April 16, 2018';'Devi Rahmalia';'Really helpful, for transportation';;;;
'April 17, 2018';'A Google user';'I love this app.';;;;
'April 18, 2018';'Yayang Fauzi';'Ok';;;;
'April 17, 2018';'I Nengah Winarta';'Guud';;;;
'April 17, 2018';'Aziz Ahmadi';'Keren';;;;
'April 18, 2018';'frangky gerrits';'okk';;;;
'April 16, 2018';'Ponce Austina';'Easy to use';;;;
'April 16, 2018';'eko biantoro';'Verry nice';;;;
'April 18, 2018';'linda hoesny';'Good service';;;;
'April 18, 2018';'A Google user';'Great Apps';;;;
