date,user,tweets,is_duplicate,replying,rep_count,ret_count,fav_count,user_all,user_count,hashtag,tag_count,link,clean_text,word_count
2014-06-16,@WinNyoman,contoh account twitter pasukan nasi bungkus dari mangku pastika yang ingin bali direklamasi! #BaliTolakReklamasi pic.twitter.com/qXjLW3KEYw,FALSE,False,NA,,NA,@WinNyoman ,2,#BaliTolakReklamasi,1,/WinNyoman/status/478613070390906880,contoh account twitter pasukan nasi bungkus mangku pastika direklamasi,9
2014-06-16,@_GusBegenk,"Ayooo presiden siapa INI? jrx_sid #BaliTolakReklamasi #BatalkanPerpres51th2014 ""mikir atuh pa mikir"" http://instagram.com/p/pUM6qbOalI/<c2><a0>",FALSE,False,NA,,NA,@_GusBegenk ,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/_GusBegenk/status/478610931954364416,ayooo presiden jrxsid mikir atuh pa mikir,7
2014-06-16,@_GusBegenk,Siang ini @forbali13 @JRX_SID DKK siap turun jalan utk menuntut @SBYudhoyono & penguasa2 rakus #BatalkanPerpres51th2014 #BaliTolakReklamasi,FALSE,False,NA,,NA,"@_GusBegenk @forbali, @JRX_SID, @SBYudhoyono",4,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/_GusBegenk/status/478604260666388480,dkk turun jalan menuntut penguasa rakus,6
2014-06-16,@Nengah_Buddy,Ayo yg cinta dan suka jalan2 dibali ganti avatar kalian dengan avatarni #BaliTolakReklamasi #BatalkanPerpresNO51/2014pic.twitter.com/adFIHTBrW5,FALSE,False,NA,,NA,@Nengah_Buddy ,2,"#BaliTolakReklamasi, #BatalkanPerpresNO",2,/Nengah_Buddy/status/478602673424322560,cinta suka jalan dibali ganti avatar avatarni,7
2014-06-16,@Nengah_Buddy,@GustiAyuMutiara ayo yg cinta bali ganti avatar kalian dengan avatar ni #BaliTolakReklamasi #BatalkanPerpresNO51/2014pic.twitter.com/adFIHTBrW5,FALSE,False,NA,,NA,@Nengah_Buddy @GustiAyuMutiara,2,"#BaliTolakReklamasi, #BatalkanPerpresNO",2,/Nengah_Buddy/status/478602339519959040,cinta ganti avatar avatar,4
2014-06-16,@Nengah_Buddy,@ayunovithas ayo yang cinta bali ganti avatar kalian dengan avatar ini #BaliTolakReklamasi #BatalkanPerpresNO51/2014pic.twitter.com/adFIHTBrW5,FALSE,False,NA,1,NA,@Nengah_Buddy @ayunovithas,2,"#BaliTolakReklamasi, #BatalkanPerpresNO",2,/Nengah_Buddy/status/478601906370015234,cinta ganti avatar avatar,4
2014-06-16,@Nengah_Buddy,ayo yang cinta bali ganti avatar kalian dengan avatar ini #BaliTolakReklamasi #BatalkanPerpresNO51/2014pic.twitter.com/adFIHTBrW5,FALSE,False,NA,,NA,@Nengah_Buddy ,2,"#BaliTolakReklamasi, #BatalkanPerpresNO",2,/Nengah_Buddy/status/478601750249623553,cinta ganti avatar avatar,4
2014-06-16,@maskholiksip,bro @Cristiano besok turun kejalan aja yuk.. ikut suarakan #BaliTolakReklamasi<c2><a0>http://twitpic.com/e6beaw<c2><a0>,FALSE,False,NA,,NA,@maskholiksip @Cristiano,2,#BaliTolakReklamasi,1,/maskholiksip/status/478597991503122432,besok turun kejalan suarakan,4
2014-06-16,@gustulang,"<e2><80><9c>@lantip: makanya do, ndak usah ngasih kaos ke pakbeye. angsarnya jelek emang. *lho*<e2><80><9d> #BaliTolakReklamasi",FALSE,True,NA,,NA,@gustulang @lantip,2,#BaliTolakReklamasi,1,/gustulang/status/478595007192915969,ndak ngasih kaos pakbeye angsarnya jelek emang lho,8
2014-06-16,@septianwhatever,#BaliTolakReklamasi #BatalkanPerpres51th2014 #BaliTolakReklamasi #BatalkanPerpres51th2014 #BaliTolakReklamasi #BaliTolakReklamasi @JRX_SID,FALSE,False,NA,,NA,@septianwhatever @JRX_SID,2,"#BaliTolakReklamasi, #BatalkanPerpresth, #BaliTolakReklamasi, #BatalkanPerpresth, #BaliTolakReklamasi, #BaliTolakReklamasi",6,/septianwhatever/status/478593351524970497,,0
2014-06-16,@JoantDjavu,"Ngumpulin tenaga buat besok. Dari malang for #balitolakreklamasi #batalkanperpres51th2014
@forbali13 @xRMBLx @JRX_SID",FALSE,False,NA,,NA,"@JoantDjavu @forbali, @xRMBLx, @JRX_SID",4,"#balitolakreklamasi, #batalkanperpresth",2,/JoantDjavu/status/478587082546233344,ngumpulin tenaga besok malang,4
2014-06-16,@Barunk15,Cc: @JRX_SID  RT @kerjapembebasan: SAVE BALI! #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/BM2hyiXgkI,FALSE,False,NA,,NA,"@Barunk15 @JRX_SID, @kerjapembebasan",3,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/Barunk15/status/478585348822286337,save,1
2014-06-16,@kerjapembebasan,SAVE BALI! #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/GZQbih58J0,FALSE,False,NA,2,NA,@kerjapembebasan ,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/kerjapembebasan/status/478584652727218176,save,1
2014-06-16,@adehehemas,Semesta selalu berpihak kpd kebenaran. Kami selalu mendoakan kalian kawan! http://bit.ly/1siyJJL<c2><a0> #BaliTolakReklamasi @JRX_SID @forbali13,FALSE,False,NA,1,NA,"@adehehemas @JRX_SID, @forbali",3,#BaliTolakReklamasi,1,/adehehemas/status/478584305279848449,semesta berpihak kpd kebenaran mendoakan kawan,6
2014-06-16,@galih_oesde,Yg ikut acara besok semoga dilancarkn semuanya. Jgn anarkis satu suara #BatalkanPerpres51Thn2014 #BaliTolakReklamasi pic.twitter.com/Y6APOsjHCP,FALSE,False,NA,,NA,@galih_oesde ,2,"#BatalkanPerpresThn, #BaliTolakReklamasi",2,/galih_oesde/status/478584226325876736,acara besok semoga dilancarkn anarkis suara,6
2014-06-16,@KAYCHIMa,@gendovara yasudah sabar saja bli sambil tetuep suarakan #balitolakreklamasi dan #BatalkanPerpres51th2014,FALSE,True,NA,,NA,@KAYCHIMa @gendovara,2,"#balitolakreklamasi, #BatalkanPerpresth",2,/KAYCHIMa/status/478583343361953792,yasudah sabar bli tetuep suarakan,5
2014-06-16,@Barunk15,Cc: @JRX_SID RT @kerjapembebasan: SAVE BALI! #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/eWe1hZ54Jb,FALSE,False,NA,,NA,"@Barunk15 @JRX_SID, @kerjapembebasan",3,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/Barunk15/status/478582762631208960,save,1
2014-06-16,@Barunk15,RT @kerjapembebasan: SAVE BALI! #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/eWe1hZ54Jb,FALSE,False,NA,,NA,@Barunk15 @kerjapembebasan,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/Barunk15/status/478582637468979200,save,1
2014-06-16,@kerjapembebasan,SAVE BALI! #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/uzozUa669F,FALSE,False,NA,5,NA,@kerjapembebasan ,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/kerjapembebasan/status/478582450503696385,save,1
2014-06-16,@Rampagesquad,Cukup  jerman sudah menang.. siiapkan tenaga bsog buat turun ke jalan.. perjuangkan bali #BaliTolakReklamasi #BatalkanPerpres51th2014,FALSE,False,NA,5,NA,@Rampagesquad ,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/Rampagesquad/status/478581349217886208,jerman menang siiapkan tenaga bsog turun jalan perjuangkan,8
2014-06-16,@ainurridho10_,"@awardeean kalau pengen berjuang juga stalking tweet""nya @JRX_SID @forbali13 . Mbak :D #BaliTolakReklamasi",FALSE,True,1,1,NA,"@ainurridho10_ @awardeean, @JRX_SID, @forbali",4,#BaliTolakReklamasi,1,/ainurridho10_/status/478579350200410113,pengen berjuang stalking tweetnya mbak,5
2014-06-16,@alwanbrilian,"Bumiku buruk rupa. kalau dulu ada dua mata dan dua telinga, sekarang rata dan tak bersisa #BaliTolakReklamasi #RembangBebasAlatBerat",FALSE,False,NA,1,NA,@alwanbrilian ,2,"#BaliTolakReklamasi, #RembangBebasAlatBerat",2,/alwanbrilian/status/478574006841257984,bumiku buruk rupa mata telinga bersisa,6
2014-06-16,@alwanbrilian,jangan lupa besok ikutan gerakan #BaliTolakReklamasi yang sedang di Bali. Perjuangkan dan sangat dibutuhkan kesadaran. #BaliTolakReklamasi,FALSE,False,NA,1,NA,@alwanbrilian ,2,"#BaliTolakReklamasi, #BaliTolakReklamasi",2,/alwanbrilian/status/478573142638469120,lupa besok ikutan gerakan perjuangkan dibutuhkan kesadaran,7
