Data,user_count
RidwanEkaS,1
Fajar_R29,1
_christinaApril Aris_Prawinata Metro_TV,3
indraosd_ Jonathan_Evert indraosd_,3
djatmikotriasdy JRX_SID,2
aripparman_ JRX_SID mangku_pastika,3
indraosd_,1
ntanchrnnsa,1
asepyusuf_,1
edy_boqir E_biey,2
E_biey,1
Terrong_OSD metroTV,2
deadprayy,1
djatmikotriasdy,1
Aschaya_BIT,1
rikyseptian_ Metro_TV JRX_SID,3
agitdr gendovara,2
oentoengfarizi MetroTipi SID_Official,3
asudahlahh,1
sandiicung JRX_SID METROTV,3
denikgd,1
JefriNasution metrorealitas JRX_SID,3
AreeAstynaCool MetroTV JRX_SID,3
andhy_outsider SID_Official MetroTV JRX_SID,4
NgurahBIKUL dekdiofficial,2
putusantra,1
dekdiofficial,1
Maharanip_jdb JRX_SID,2
intaansekar JRX_SID TheBullheadBali sari_nymphea 8rianna_ THEHYDRANTBALl,6
intaansekar SID_Official,2
heri_gusnanta JRX_SID SID_Official metro,4
Tioptb,1
Odikhaka16 JRX_SID SID_Official metrorealitas Metro_TV,5
ardliansyah_ JRX_SID SID_Official metrorealitas Metro_TV,5
RMBLrafa SID_Official metrorealitas Metro_TV,4
zafind Rhmd_Yusuf,2
rendyscooteris1,1
rendyscooteris1 SID_Official metrorealitas Metrotv,4
gusjell JRX_SID,2
CopokTBH,1
bobbyalcoholic SID_Official metrorealitas Metro_TV,4
bayuastina JRX_SID,2
cocogatezzz JRX_SID SID_Official metrorealitas Metro_TV,5
SeptiansyahCN JRX_SID,2
Ariputraone JRX_SID SID_Official radic_co WalhiBali,5
theymars JRX_SID SID_Official,3
sondonksaurus JRX_SID SID_Official,3
oR666En JRX_SID SID_Official,3
hielmi20 JRX_SID SID_Official metrorealitas Metro_TV,5
surawk SID_Official metrorealitas Metro_TV,4
TOGAMAS_MP JRX_SID radic_co WalhiBali,4
DwikBrandals,1
eka_rimayanti,1
nguraharta13 Oasis_Bejes,2
Oasis_Bejes,1
kikisanjaya_ artha_ngurah kikisanjaya_ artha_ngurah kikisanjaya_,5
nguraharta13 kikisanjaya_ artha_ngurah kikisanjaya_ artha_ngurah,5
kikisanjaya_ artha_ngurah kikisanjaya_ artha_ngurah,4
nguraharta13 kikisanjaya_ artha_ngurah,3
kikisanjaya_ artha_ngurah kikisanjaya_,3
xpeyex SID_Official,2
jonxdika JRX_SID,2
DanKurowo,1
leeehyou_ duansuryaputra Rara99608011,3
yusufsubekti_ Yogha_Balinese,2
LaraayuC2,1
LEJ_OWAH JRX_SID TheBullheadBali sari_nymphea 8rianna_ THEHYDRAN,6
AjiqCool TheBullheadBali,2
CopokTBH TheBullheadBali,2
_ROMY13,1
HadyDirnt,1
muslim_chandra JRX_SID radic_co WalhiBali,4
dhe_lowrider,1
LLL_BALI OPTMS_Invaders,2
adisumiarta,1
ajiz67 JRX_SID,2
adiesastrawan04 TheBullheadBali,2
XWildOneX TheBullheadBali,2
surawk TheBullheadBali,2
AnnaJackass BayuKPutra,2
gus_sadhu JRX_SID sari_nymphea SID_Official,4
TheBullheadBali,1
BayuKrsnPutra,1
dodixOdice Radic_co,2
dodixOdice JRX_SID,2
OPTMS_Invaders,1
deadprayy,1
PandeSurya2 dadongBLELENG naviculamusic,3
bobbyalcoholic,1
TianDutha,1
DanKurowo JRX_SID,2
AdiTyo_outSIDer SID_official,2
hitampitam JRX_SID 8rianna_ DEVlLDICE,4
bobbycoel JRX_SID radic_co WalhiBali,4
BataraOki JRX_SID 8rianna_ DEVlLDICE,4
shgylua JRX_SID 8rianna_ DEVlLDICE,4
