author;message_short;date;commit;weekday;month;monthday;time;year;message;left_parent;right_parent;n_parents
eppofahmi;clean clean clean;2018-04-30T21:58:49Z;5019748;Mon;Apr;30;21.58.49;2018;clean clean clean;2e2695f11e282f630d21bccb064a7cdb59f90576;NA;1
eppofahmi;new wrangling scenar;2018-05-01T18:35:46Z;ef7c387;Tue;May;1;18.35.46;2018;new wrangling scenario and ekploration to teluk benoa twit;5019748e74e3a73306befe24eaae2d72a484d430;NA;1
eppofahmi;user data cleaning;2018-05-02T10:44:13Z;33589bb;Wed;May;2;10.44.13;2018;user data cleaning;ef7c38760120095ee9df28fcf9c5c0db3d4faca9;NA;1
eppofahmi;download gdrive file;2018-05-02T12:45:31Z;c0ffa2b;Wed;May;2;12.45.31;2018;download gdrive file;33589bbe0d5cc0175607a82ca87849a9f834ffc1;NA;1
eppofahmi;gdrive;2018-05-02T12:47:05Z;62f675d;Wed;May;2;12.47.05;2018;gdrive;c0ffa2b3544d3a1931e9c0845d2fcbb7d76d1dd4;NA;1
eppofahmi;id;2018-05-02T12:55:34Z;dc42b72;Wed;May;2;12.55.34;2018;id;62f675dec53c71890b73baecf1dac93363ee2965;NA;1
eppofahmi;07 Creating graph fi;2018-05-03T11:58:41Z;d3844c2;Thu;May;3;11.58.41;2018;07 Creating graph file;dc42b7272966e9597e8734cac2f4ce87ec393bd2;NA;1
eppofahmi;minor edit;2018-05-03T12:12:02Z;9973332;Thu;May;3;12.12.02;2018;minor edit;d3844c20d8e4acd07bc72f1763fd864504d7327c;NA;1
eppofahmi;177;2018-05-03T13:42:21Z;cee215c;Thu;May;3;13.42.21;2018;177;997333287d32fca04996b335876d586a59df8758;NA;1
eppofahmi;download file;2018-05-03T13:49:32Z;a37df02;Thu;May;3;13.49.32;2018;download file;62f675dec53c71890b73baecf1dac93363ee2965;NA;1
eppofahmi;oke;2018-05-03T13:50:13Z;5d046ec;Thu;May;3;13.50.13;2018;oke;a37df020ae8f4f036ab39992f0e64b61f81b96c8;cee215ca4920a840e7dbf588ea227d08cb7ba1b5;2
eppofahmi;new data sources par;2018-05-04T12:53:32Z;e8d06d7;Fri;May;4;12.53.32;2018;new data sources parameter;997333287d32fca04996b335876d586a59df8758;NA;1
