date,tweets,periode,person
2014-08-28,"Top ""@DediDiatmika :Seminyak bergerak ! Tolak Reklamasi Teluk Benoa #balitolakreklamasi @JRX_SID @gendovara @forbali13",periode_2,gendovara
2014-08-27,"Trims supportnya bro ""@DBogsRidwan : Mantaff bro @gendovara at @KompasTV #BaliTolakReklamasi """,periode_2,gendovara
2014-08-26,"#JokoWillSaveBali ""@rambobuda : Atur pejati ,Jek acep nasne atman jeleme  rakus "" jak ane ngusak baliho #BaliTolakReklamasi ring hyang BARUNA",periode_2,gendovara
2014-08-25,Teman2 mari teriakan #balitolakreklamasi dan setiap twit mari kita isi dgn #JokoWillSaveBali . Kasitau pak @jokowi_do2 alm bali terancam,periode_2,gendovara
2014-08-25,@jokowi_do2 kedatangan bpk ke Bali sgt istimewa .mk baliho kami dirobek agar bpk tdk dengar suara  #balitolakreklamasi #JokoWillSaveBali,periode_2,gendovara
2014-08-22,Mbak @juliaperrez jika berkenan mbak bisa cek  atau search gerakan #BaliTolakReklamasi . Bisa cek di youtube jg . ;),periode_2,gendovara
2014-08-19,"Bukan untuk rakyat ""@bobbyalcoholic : @gendovara Reklamasi untuk siapa ?  #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi """,periode_2,gendovara
2014-08-08,Hormatku bt Jelantik dr Jembrana . Pagi2 ke dps demi ikut #balitolakreklamasi . Abis aksi ke @WALHIBali ngopi bentar .trus lg balik ke jembrana,periode_2,gendovara
2014-08-08,"Inilah gerakan rakyat . Rakyat melawan , rakyat yg kuasa atas negri ini . Mari terus berjuang #BatalkanPerpresNolimasatuThbjad #BaliTolakReklamasi",periode_2,gendovara
2014-08-08,"Td tak kira peyut :p ""@Lightning_venus : ini bkn mksd ngasi pantat ..maap @gendovara lop lop  #BaliTolakReklamasi",periode_2,gendovara
2014-08-08,Terimakasih bt kawan2 dr Tabanan telah hadir pd aksi #balitolakreklamasi hari ini . Solidaritas U / Bali . #BatalkanPerpreslimasatuthbjad,periode_2,gendovara
